timestep,reward
238557,6.455
238912,7.207
239304,6.569
239657,9.875
240045,3.268
240408,6.725
240781,6.02
241169,9.299
241515,7.899
241825,7.193
242163,7.83
242535,5.866
242907,5.099
243296,7.626
243697,4.93
244044,5.163
244407,5.485
244794,6.461
245166,6.486
245587,5.35
245956,6.476
246295,6.371
246677,5.901
247050,7.274
247418,2.203
247812,3.574
248157,5.216
248536,4.006
248909,5.902
249288,3.926
249665,3.639
250047,5.865
250453,5.616
250800,7.548
251187,7.375
251538,8.581
251915,8.307
252280,6.073
252664,8.613
253007,10.171
253388,6.693
253773,10.359
254136,8.601
254514,5.97
254875,9.921
255255,5.767
255588,6.506
255953,7.085
256363,3.826
256745,2.933
257111,4.482
257457,4.982
257777,5.984
258133,4.901
258480,1.905
258831,4.934
259225,6.668
259555,6.393
259910,4.781
260231,8.361
260609,6.636
260981,7.031
261387,5.865
261776,4.701
262143,7.04
262519,6.243
262867,4.331
263275,6.441
263630,4.702
263968,5.345
264324,4.552
264698,5.754
265073,3.411
265446,4.219
265850,3.458
266242,5.593
266635,2.898
266993,3.284
267358,5.039
267731,4.049
268078,7.832
268408,7.97
268762,8.262
269156,5.149
269536,6.829
269905,5.665
270312,8.364
270716,7.503
271078,2.146
271445,6.576
271852,6.667
272243,6.231
272625,5.751
272954,5.519
273318,4.461
273652,6.659
274061,5.087
274507,6.208
274864,5.984
275224,6.647
275609,7.857
275957,9.75
276299,6.081
276636,7.961
276985,4.671
277363,6.498
277736,6.057
278137,9.471
278533,4.059
278901,5.526
279286,5.824
279655,5.831
280002,10.123
280425,6.896
280799,5.735
281141,10.018
281570,6.253
281952,3.142
282340,7.041
282736,7.311
283103,7.396
283475,2.478
283884,7.342
284276,2.175
284668,8.65
285041,8.981
285434,4.965
285801,5.811
286155,7.502
286526,8.464
286925,5.57
287343,9.293
287764,4.135
288127,3.599
288487,8.53
288845,8.754
289197,7.721
289568,6.856
289934,1.172
290291,3.659
290643,6.312
291035,5.754
291464,2.583
291891,6.893
292284,4.883
292704,4.919
293124,6.27
293525,3.896
293882,4.72
294277,6.037
294663,10.447
295080,7.56
295482,9.834
295839,5.493
296218,7.559
296597,0.622
296969,5.69
297338,6.716
297725,10.084
298136,5.679
298550,7.638
298935,7.329
299324,4.301
299717,3.425
300096,9.004
300519,8.169
300906,8.457
301292,8.583
301643,7.009
302016,7.255
302433,6.561
302804,9.207
303220,4.041
303621,6.061
304039,6.954
304440,4.459
304840,11.023
305247,7.349
305637,7.472
306023,4.789
306389,5.388
306754,10.568
307176,9.375
307573,7.044
307940,5.254
308320,6.696
308738,6.591
309104,8.481
309472,7.859
309873,8.497
310271,4.452
310605,1.423
311012,7.233
311357,5.307
311770,9.151
312187,8.77
312529,7.945
312942,5.95
313340,6.868
313735,8.921
314085,6.288
314426,6.974
314854,6.216
315190,6.587
315606,6.442
315999,7.716
316331,8.113
316708,5.899
317092,7.631
317443,7.099
317816,7.506
318172,6.916
318518,4.958
318851,8.418
319220,3.998
319563,5.305
319915,8.101
320275,6.929
320664,5.919
321022,6.607
321354,6.671
321679,7.794
