timestep,reward
165638,-1.144
165872,-1.162
166089,-1.177
166334,-1.205
166556,-1.224
166771,-1.19
166980,-1.173
167196,-1.19
167399,-1.125
167647,-1.166
167866,-1.179
168076,-1.225
168304,-1.202
168528,-1.237
168752,-1.202
168973,-1.239
169213,-1.224
169442,-1.162
169656,-1.204
169896,-1.209
170124,-1.206
170356,-1.201
170572,-1.201
170822,-1.201
171049,-1.183
171283,-1.161
171517,-1.197
171752,-1.227
172000,-1.171
172214,-1.185
172442,-1.204
172674,-1.204
172931,-1.196
173177,-1.196
173427,-1.26
173671,-1.169
173913,-1.205
174152,-1.198
174378,-1.221
174645,-1.218
174867,-1.161
175096,-1.198
175344,-1.212
175574,-1.184
175814,-1.217
176052,-1.221
176287,-1.207
176534,-1.226
176780,-1.247
177037,-1.175
177286,-1.237
177517,-1.234
177727,-1.216
177953,-1.196
178172,-1.236
178401,-1.2
178614,-1.232
178831,-1.241
179071,-1.164
179329,-1.16
179572,-1.182
179813,-1.25
180048,-1.196
180298,-1.23
180532,-1.215
180768,-1.163
180999,-1.284
181252,-1.183
181501,-1.225
181727,-1.173
181953,-1.203
182200,-1.199
182474,-1.215
182729,-1.201
182973,-1.187
183220,-1.21
183454,-1.169
183709,-1.2
183948,-1.172
184183,-1.22
184430,-1.241
184682,-1.232
184952,-1.157
185199,-1.157
185450,-1.208
185693,-1.195
185927,-1.154
186184,-1.218
186418,-1.191
186695,-1.178
186954,-1.215
187208,-1.218
187467,-1.173
187726,-1.214
187981,-1.206
188226,-1.146
188455,-1.191
188693,-1.222
188951,-1.182
189209,-1.207
189457,-1.225
189700,-1.218
189948,-1.251
190199,-1.215
190480,-1.188
190740,-1.185
190982,-1.186
191274,-1.204
191539,-1.187
191809,-1.191
192048,-1.207
192331,-1.159
192593,-1.246
192850,-1.211
193113,-1.18
193378,-1.201
193633,-1.174
193876,-1.175
194127,-1.206
194387,-1.173
194624,-1.209
194903,-1.182
195195,-1.192
195456,-1.221
195744,-1.214
196028,-1.224
196307,-1.207
196544,-1.206
196798,-1.155
197066,-1.237
197316,-1.229
197601,-1.262
197835,-1.201
198104,-1.25
198373,-1.163
198666,-1.24
198942,-1.207
199220,-1.234
199510,-1.2
199786,-1.259
200066,-1.257
200357,-1.205
200677,-1.259
200936,-1.167
201251,-1.214
201517,-1.235
201804,-1.247
202073,-1.276
202390,-1.186
202685,-1.24
202961,-1.256
203275,-1.31
203554,-1.275
203828,-1.276
204113,-1.334
204415,-1.296
204674,-1.26
204938,-1.33
205235,-1.379
205515,-1.313
205766,-1.432
206038,-1.381
206347,-1.413
206641,-1.466
206936,-1.522
207208,-1.373
207470,-1.449
207785,-1.583
208081,-1.524
208336,-1.454
208618,-1.439
208894,-1.68
209206,-1.63
209508,-1.733
209821,-1.631
210107,-1.615
210391,-1.779
210652,-1.903
210914,-1.78
211209,-1.817
211519,-2.079
211833,-2.05
212135,-2.056
212470,-1.89
212827,-2.204
213109,-2.399
213441,-2.026
213759,-2.394
214072,-1.942
214417,-2.093
214715,-1.91
215007,-2.339
215319,-2.065
215577,-2.343
215870,-2.459
216166,-2.191
216460,-2.429
216771,-2.059
217072,-1.905
217372,-2.338
217692,-2.324
217984,-2.255
218289,-2.125
218612,-2.269
218901,-2.778
219220,-2.739
219514,-2.568
219828,-2.35
220105,-2.508
220393,-2.969
220690,-2.836
221008,-2.432
221345,-3.285
221673,-2.994
221973,-2.765
222318,-2.94
222651,-3.246
222969,-3.73
223348,-3.034
223662,-3.143
